Animal,,,,,Brain,,,,,,,,,,Music,,,,,,,,,Semantic,Social
G_dolphins,G_macaques,G_sheep,G_wetlands,G_zebras,G_FC_1,G_FC_2,G_FC_3,G_FC_4,G_FC_5,G_SC_1,G_SC_2,G_SC_3,G_SC_4,G_SC_5,G_Africa,G_Beethoven,G_Bohemian,G_Brahms,G_Chopin,G_Clavier,G_HardDays,G_Mozart,G_Thriller,G_glossary,G_karate
2.6124,5.154,3.1294,5.0293,3.4051,4.081,4.0876,4.1303,4.1715,4.0967,4.1009,4.2065,4.2287,4.2968,4.296,3.4076,4.8575,5.0133,4.4227,3.6285,3.0644,3.6175,3.908,4.029,2.3157,2.5807
2.5747,5.1163,3.0305,4.9931,3.2908,4.0551,4.0602,4.1037,4.1422,4.0704,4.0761,4.1808,4.1917,4.263,4.2651,3.3217,4.8142,4.9654,4.3839,3.5591,3.0084,3.5326,3.8487,3.9707,2.2894,2.4526
2.5211,5.0688,2.9316,4.9614,3.1275,4.0329,4.0389,4.0809,4.1052,4.0374,4.0526,4.154,4.1537,4.2335,4.2309,3.1981,4.7605,4.9217,4.3357,3.4644,2.9322,3.4145,3.7589,3.8899,2.2719,2.4013
2.4763,5.0377,2.735,4.9254,2.9336,3.997,4.0164,4.058,4.0616,4.0086,4.0302,4.1199,4.1306,4.204,4.1913,3.1184,4.7205,4.8635,4.2924,3.428,2.8543,3.3344,3.7165,3.8406,2.2544,2.3116
2.4322,5.0055,2.6074,4.8637,2.8194,3.9748,3.9776,4.0273,4.0152,3.9684,4.0091,4.1001,4.1075,4.147,4.1199,2.9225,4.668,4.7484,4.2336,3.383,2.7975,3.2275,3.6568,3.7724,2.2335,2.2202
2.4322,4.9565,2.5002,4.8385,2.517,3.9176,3.9776,4.0273,4.0128,3.9684,4.0028,4.0481,4.07,4.0587,4.0963,2.9053,4.5526,4.7365,4.1376,3.2554,2.7303,2.9717,3.5582,3.6051,2.2335,2.1121
2.4236,4.9565,2.4788,4.8242,2.4973,3.9087,3.965,4.0102,3.995,3.9558,3.9741,4.0058,4.0237,4.0386,4.0702,2.8481,4.5392,4.735,4.1213,3.2508,2.6653,2.9717,3.5497,3.6029,2.1772,1.9828
2.4149,4.9549,2.3049,4.7915,2.4671,3.8976,3.945,3.9903,3.9754,3.9476,3.9071,3.9965,4.0032,4.012,4.0305,2.6726,4.5359,4.711,4.0869,3.2454,2.5628,2.967,3.5102,3.6006,2.1772,1.9164
2.4087,4.9529,2.1814,4.775,2.4671,3.8842,3.9209,3.9609,3.9693,3.9392,3.8803,3.9744,3.9853,3.988,4.0005,2.5212,4.5248,4.6763,4.0674,3.2289,2.5483,2.9435,3.4862,3.5953,2.0845,1.8339
2.4,4.9507,2.0142,4.7513,2.448,3.8785,3.9174,3.9546,3.9464,3.9331,3.8475,3.9474,3.955,3.9716,3.9549,2.4553,4.5194,4.6683,4.0417,3.2145,2.4904,2.908,3.4386,3.5908,2.0499,1.7595
2.3795,4.9448,1.8366,4.7073,2.4158,3.8731,3.8953,3.9304,3.927,3.9025,3.8164,3.9247,3.9316,3.9362,3.9313,2.3946,4.4964,4.6381,4.0104,3.1942,2.4253,2.8638,3.3646,3.581,2.0411,1.6871
2.3733,4.9285,1.6291,4.6863,2.3873,3.8606,3.8734,3.8967,3.8924,3.8845,3.7838,3.8871,3.8831,3.9189,3.9069,2.3736,4.47,4.6224,3.9744,3.1756,2.2867,2.8052,3.3132,3.5711,2.029,1.5991
2.3313,4.9218,1.4797,4.652,2.3295,3.8366,3.836,3.8489,3.8405,3.8598,3.7589,3.8683,3.8648,3.9065,3.8793,2.3235,4.4446,4.6039,3.9525,3.1624,2.179,2.7705,3.2454,3.5476,1.9973,1.5536
2.3226,4.914,1.2764,4.6139,2.2257,3.7987,3.7876,3.7994,3.7957,3.8113,3.7465,3.8418,3.8379,3.8826,3.8418,2.2326,4.3951,4.5621,3.8954,3.1328,2.1583,2.6963,3.221,3.5104,1.9885,1.4896
2.2974,4.8972,1.2515,4.5747,1.9941,3.7612,3.7334,3.7474,3.7361,3.7556,3.7094,3.8181,3.8107,3.8573,3.8302,2.1065,4.3392,4.5386,3.8619,3.1039,2.0489,2.6423,3.1559,3.4698,1.9606,1.439
2.2636,4.8833,1.2122,4.5272,1.7787,3.7165,3.6871,3.7049,3.7179,3.7084,3.6756,3.7899,3.7807,3.8038,3.7982,1.904,4.2942,4.485,3.83,3.0345,2.0353,2.5892,3.0887,3.4325,1.9304,1.3308
2.225,4.8633,1.0745,4.4747,1.5078,3.6771,3.6308,3.6448,3.7055,3.6814,3.6192,3.7421,3.7255,3.7874,3.7843,1.7487,4.2611,4.4524,3.8115,2.9824,1.9253,2.5396,2.9868,3.3795,1.8854,1.2757
2.2164,4.842,0.8656,4.4471,1.2288,3.6211,3.5913,3.6196,3.6588,3.6452,3.605,3.7275,3.7136,3.7619,3.7625,1.5677,4.2014,4.4091,3.7508,2.9636,1.8503,2.453,2.9272,3.3398,1.8696,1.2257
2.205,4.8198,0.6917,4.4217,0.9604,3.588,3.5552,3.6005,3.5958,3.603,3.571,3.6984,3.6901,3.6922,3.7095,1.3775,4.1231,4.3434,3.6604,2.9075,1.8213,2.2506,2.8443,3.3228,1.8608,1.1681
2.1862,4.7967,0.6917,4.3782,0.892,3.5503,3.4969,3.5569,3.5326,3.5538,3.491,3.6403,3.6727,3.6616,3.6847,1.2935,4.0752,4.2748,3.629,2.8825,1.6993,2.0968,2.7399,3.2676,1.8437,1.0832
2.176,4.7729,0.4119,4.3347,0.6079,3.5057,3.4485,3.4948,3.4731,3.5128,3.4647,3.6281,3.6491,3.6259,3.6556,1.207,3.9982,4.1966,3.5518,2.8353,1.6039,1.9795,2.6665,3.2112,1.7992,1.0227
2.0934,4.7484,0.2509,4.2903,0.3019,3.4541,3.388,3.4412,3.4442,3.4625,3.4215,3.5983,3.6034,3.5858,3.6404,1.0248,3.9584,4.1292,3.4566,2.8052,1.572,1.8075,2.5505,3.1515,1.7641,0.9669
2.0568,4.7233,0.1706,4.2348,0,3.4066,3.3353,3.383,3.399,3.4266,3.3809,3.5546,3.573,3.5549,3.6061,0.9174,3.8785,4.0293,3.3764,2.7461,1.492,1.6203,2.521,3.1196,1.747,0.9413
1.9916,4.7069,0,4.1893,,3.3542,3.2887,3.3491,3.3604,3.3949,3.3449,3.5249,3.5514,3.5198,3.5563,0.7979,3.7866,3.9413,3.3159,2.6466,1.3964,1.46,2.3518,2.9965,1.7382,0.879
1.9503,4.6815,,4.1426,,3.3105,3.2509,3.2999,3.3222,3.343,3.3129,3.4875,3.5333,3.4904,3.5368,0.7675,3.7278,3.8416,3.2291,2.5745,1.3742,1.318,2.2346,2.8987,1.7192,0.815
1.9,4.6541,,4.0846,,3.2683,3.2039,3.2563,3.2794,3.3216,3.2878,3.4596,3.5076,3.4567,3.4829,0.7531,3.631,3.7287,3.1897,2.5605,1.2572,1.1305,2.1768,2.8181,1.6774,0.7627
1.8269,4.6263,,4.0287,,3.2257,3.1706,3.2075,3.2337,3.3063,3.2651,3.4276,3.4546,3.4116,3.4676,0.7058,3.5398,3.649,3.1141,2.4733,1.1116,0.9958,2.0615,2.765,1.6576,0.7327
1.8052,4.598,,3.9716,,3.1822,3.1427,3.1754,3.1934,3.2755,3.2135,3.3743,3.4401,3.3977,3.4162,0.6016,3.4454,3.5431,3.0166,2.384,1.004,0.8472,2.0258,2.6212,1.637,0.6712
